GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BusRest,ua.lviv.iot.BusRest.controller,TransportController,33,0,0,0,7,0,6,0,6,0
BusRest,ua.lviv.iot.BusRest.manager,TransportManager,2,134,2,6,0,25,2,21,0,19
BusRest,ua.lviv.iot.BusRest.writer,Writer,60,22,7,1,16,7,4,2,0,2
BusRest,ua.lviv.iot.BusRest.writer,CompareObjectListUtils,0,11,0,0,0,3,0,2,0,2
BusRest,ua.lviv.iot.BusRest,BusRestApplication,8,0,0,0,3,0,2,0,2,0
BusRest,ua.lviv.iot.BusRest.service,TransportService,96,0,6,0,17,0,10,0,7,0
BusRest,ua.lviv.iot.BusRest.models,Car,0,142,0,0,0,20,0,13,0,13
BusRest,ua.lviv.iot.BusRest.models,MotorBike,0,88,0,0,0,12,0,7,0,7
BusRest,ua.lviv.iot.BusRest.models,AbstractTransport,7,72,0,0,1,13,2,10,2,10
BusRest,ua.lviv.iot.BusRest.models,Bus,0,82,0,0,0,12,0,7,0,7
BusRest,ua.lviv.iot.BusRest.models,TrolleyBus,0,186,0,6,0,32,0,20,0,17
